Year,Month,Primary Type,Community Area,Arrest,Description,Location Description,Count
2001,1,ASSAULT,21,False,SIMPLE,STREET,1
2001,1,ASSAULT,73,False,SIMPLE,RESIDENCE,1
2001,1,ASSAULT,76,False,SIMPLE,AIRPORT/AIRCRAFT,3
2001,1,ASSAULT,76,True,SIMPLE,AIRPORT/AIRCRAFT,2
2001,1,BATTERY,76,False,SIMPLE,AIRPORT/AIRCRAFT,4
2001,1,BATTERY,76,False,SIMPLE,CTA PLATFORM,1
2001,1,BATTERY,76,False,SIMPLE,CTA TRAIN,1
2001,1,BATTERY,76,True,AGG PO HANDS NO/MIN INJURY,AIRPORT/AIRCRAFT,1
2001,1,BATTERY,76,True,AGG: HANDS/FIST/FEET NO/MINOR INJURY,TAXICAB,1
2001,1,BATTERY,76,True,SIMPLE,AIRPORT/AIRCRAFT,6
2001,1,BURGLARY,59,False,FORCIBLE ENTRY,OTHER,1
2001,1,BURGLARY,61,False,FORCIBLE ENTRY,OTHER,1
2001,1,CRIM SEXUAL ASSAULT,10,False,NON-AGGRAVATED,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
2001,1,CRIM SEXUAL ASSAULT,16,True,PREDATORY,APARTMENT,1
2001,1,CRIM SEXUAL ASSAULT,19,False,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,19,True,PREDATORY,APARTMENT,1
2001,1,CRIM SEXUAL ASSAULT,20,False,AGGRAVATED: OTHER,APARTMENT,1
2001,1,CRIM SEXUAL ASSAULT,23,False,PREDATORY,RESIDENCE,2
2001,1,CRIM SEXUAL ASSAULT,24,False,AGGRAVATED: OTHER,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,25,False,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,26,False,PREDATORY,RESIDENCE,2
2001,1,CRIM SEXUAL ASSAULT,27,False,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,35,False,AGGRAVATED: OTHER,SIDEWALK,1
2001,1,CRIM SEXUAL ASSAULT,40,False,AGGRAVATED: OTHER,APARTMENT,1
2001,1,CRIM SEXUAL ASSAULT,42,False,PREDATORY,RESIDENCE,2
2001,1,CRIM SEXUAL ASSAULT,43,False,AGGRAVATED: OTHER,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,46,False,AGGRAVATED: OTHER,OTHER,1
2001,1,CRIM SEXUAL ASSAULT,46,False,PREDATORY,RESIDENCE,2
2001,1,CRIM SEXUAL ASSAULT,49,True,AGGRAVATED: OTHER,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,50,True,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,61,False,NON-AGGRAVATED,OTHER,1
2001,1,CRIM SEXUAL ASSAULT,61,False,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,61,True,AGGRAVATED: OTHER,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,67,False,PREDATORY,APARTMENT,1
2001,1,CRIM SEXUAL ASSAULT,67,True,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,7,False,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,70,False,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,71,False,PREDATORY,RESIDENCE,1
2001,1,CRIM SEXUAL ASSAULT,77,False,PREDATORY,APARTMENT,1
2001,1,CRIMINAL DAMAGE,76,False,TO PROPERTY,AIRPORT/AIRCRAFT,8
2001,1,CRIMINAL DAMAGE,76,False,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),1
2001,1,CRIMINAL DAMAGE,76,False,TO STATE SUP PROP,AIRPORT/AIRCRAFT,1
2001,1,CRIMINAL DAMAGE,76,False,TO VEHICLE,AIRPORT/AIRCRAFT,3
2001,1,CRIMINAL DAMAGE,76,False,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),2
2001,1,CRIMINAL DAMAGE,76,True,TO PROPERTY,AIRPORT/AIRCRAFT,1
