Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2007,1,2007-01-01 09:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,3,,
2007,1,2007-01-12 12:00:00,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING/GROUNDS,False,3,,
2007,1,2007-01-04 14:50:00,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,3,,
2007,1,2007-01-14 08:00:00,DECEPTIVE PRACTICE,EMBEZZLEMENT,OTHER,True,3,,
2007,1,2007-01-01 00:01:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,"SCHOOL, PUBLIC, BUILDING",True,3,,
2007,1,2007-01-01 12:00:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,HOSPITAL BUILDING/GROUNDS,False,3,,
2007,1,2007-01-01 00:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,3,,
2007,1,2007-01-01 00:01:00,THEFT,$500 AND UNDER,STREET,False,3,41.957014473,-87.654614514
2007,1,2007-01-01 00:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,3,41.965727545,-87.650025065
2007,1,2007-01-01 00:00:00,THEFT,$500 AND UNDER,STREET,False,3,41.974031675999996,-87.65980666700001
2007,1,2007-01-01 17:14:00,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,3,41.966409353,-87.64885215700001
2007,1,2007-01-01 22:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,3,41.967869012,-87.656212846
2007,1,2007-01-01 12:30:00,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,False,3,41.963626209,-87.653382451
2007,1,2007-01-01 04:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,False,3,41.972615704,-87.663565179
2007,1,2007-01-01 03:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,3,41.969110786,-87.653199102
2007,1,2007-01-02 11:30:00,OTHER OFFENSE,TELEPHONE THREAT,HOSPITAL BUILDING/GROUNDS,False,3,41.966409353,-87.64885215700001
2007,1,2007-01-02 12:00:00,THEFT,$500 AND UNDER,STREET,False,3,41.967890545,-87.66598274799999
2007,1,2007-01-01 10:00:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,3,41.960985377,-87.64815280399999
2007,1,2007-01-02 10:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,False,3,41.957408125,-87.65621697899999
2007,1,2007-01-02 02:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,False,3,41.964505941999995,-87.65690295200001
2007,1,2007-01-01 02:55:00,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,3,41.966012124,-87.65963743
2007,1,2007-01-01 03:55:00,BATTERY,SIMPLE,BAR OR TAVERN,True,3,41.96904679,-87.658163995
2007,1,2007-01-02 22:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,3,41.967112,-87.665178238
2007,1,2007-01-02 21:30:00,THEFT,OVER $500,STREET,False,3,41.95849948,-87.64867209799999
2007,1,2007-01-02 00:30:00,ROBBERY,STRONGARM - NO WEAPON,STREET,False,3,41.954628909,-87.645709936
2007,1,2007-01-02 22:08:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESTAURANT,True,3,41.975729415,-87.654989539
2007,1,2007-01-02 11:19:00,NARCOTICS,POSS: CRACK,SIDEWALK,True,3,41.970404887,-87.656252181
2007,1,2007-01-02 19:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,3,41.967112,-87.665178238
2007,1,2007-01-02 21:37:00,BATTERY,SIMPLE,OTHER,True,3,41.963599382,-87.655342514
2007,1,2007-01-02 21:37:00,CRIMINAL TRESPASS,TO LAND,OTHER,True,3,41.963599382,-87.655342514
2007,1,2007-01-02 19:30:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,3,41.965781301,-87.65771678799999
2007,1,2007-01-02 15:00:00,THEFT,OVER $500,STREET,False,3,41.958501346999995,-87.648525014
2007,1,2007-01-03 23:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,3,41.972759229,-87.667954501
2007,1,2007-01-03 21:45:00,ROBBERY,AGGRAVATED,RESIDENCE,False,3,41.967146604,-87.663111354
2007,1,2007-01-01 19:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,3,41.962581499,-87.660978843
